,stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation,spray_angle,team_abv
90,RingCentral Coliseum,Oakland Athletics,athletics,OAK,223.14310998801918,273.1635964373979,352.7197158562856,outfield_outer,29.4,8.0,NE,39.24485388832681,OAK
91,RingCentral Coliseum,Oakland Athletics,athletics,OAK,216.9490727055311,286.970050031834,359.74811988815605,outfield_outer,27.8,8.0,NE,37.089244317978014,OAK
92,RingCentral Coliseum,Oakland Athletics,athletics,OAK,210.74824155354878,300.7720835280035,367.258311747589,outfield_outer,26.3,8.0,NE,35.01857652925493,OAK
93,RingCentral Coliseum,Oakland Athletics,athletics,OAK,199.94149944344338,310.10447274759366,368.9734234572397,outfield_outer,24.6,8.0,NE,32.81211344134831,OAK
94,RingCentral Coliseum,Oakland Athletics,athletics,OAK,185.97506473432537,315.92576658600404,366.60034737557305,outfield_outer,22.9,15.0,NE,30.483916639594185,OAK
95,RingCentral Coliseum,Oakland Athletics,athletics,OAK,172.0189777536475,321.7731063644438,364.8677303994333,outfield_outer,21.1,15.0,NE,28.128831888351563,OAK
96,RingCentral Coliseum,Oakland Athletics,athletics,OAK,158.10472807027648,327.71912050013003,363.8638852367116,outfield_outer,19.3,15.0,NE,25.75450861911632,OAK
97,RingCentral Coliseum,Oakland Athletics,athletics,OAK,144.37839946394368,334.03639840213896,363.90306084071705,outfield_outer,17.5,15.0,NE,23.375137860692796,OAK
98,RingCentral Coliseum,Oakland Athletics,athletics,OAK,131.9195536493422,342.60754636898554,367.1276337515582,outfield_outer,15.8,15.0,NE,21.05898466848142,OAK
99,RingCentral Coliseum,Oakland Athletics,athletics,OAK,119.7388620192948,351.58487622201284,371.415293526968,outfield_outer,14.1,15.0,NE,18.807244296308074,OAK
100,RingCentral Coliseum,Oakland Athletics,athletics,OAK,107.45980939419243,360.42892509586085,376.10719307239236,outfield_outer,12.5,15.0,NE,16.601646786317005,OAK
101,RingCentral Coliseum,Oakland Athletics,athletics,OAK,95.15194689188536,369.23255030800016,381.2959076678716,outfield_outer,10.8,15.0,NE,14.450815767832854,OAK
102,RingCentral Coliseum,Oakland Athletics,athletics,OAK,82.8282690761835,378.01050382517076,386.97863398424994,outfield_outer,9.3,15.0,NE,12.359115654645269,OAK
103,RingCentral Coliseum,Oakland Athletics,athletics,OAK,69.51927858293834,385.1602642374823,391.38390263548064,outfield_outer,7.7,8.0,NE,10.23141051719495,OAK
104,RingCentral Coliseum,Oakland Athletics,athletics,OAK,55.81028877097228,391.5676175620494,395.5249517488355,outfield_outer,6.1,8.0,NE,8.111754893005296,OAK
105,RingCentral Coliseum,Oakland Athletics,athletics,OAK,42.105828451102745,397.98463135179554,400.20578154466773,outfield_outer,4.5,8.0,NE,6.039291340254391,OAK
106,RingCentral Coliseum,Oakland Athletics,athletics,OAK,27.79003459752331,402.37703533,403.3355483761525,outfield_outer,3.0,8.0,NE,3.9508399694247736,OAK
107,RingCentral Coliseum,Oakland Athletics,athletics,OAK,12.657492644267773,402.37703533,402.57606819208684,outfield_outer,1.4,8.0,NE,1.8017475569022212,OAK
108,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-2.4748554637624163,402.339686810134,402.34729835310594,outfield_outer,-0.3,8.0,NE,-0.3524310160432525,OAK
109,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-17.60681408460349,402.2272950700001,402.6124647865969,outfield_outer,-1.9,8.0,NE,-2.506425026992463,OAK
110,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-32.71925628264757,401.78110274580257,403.11115620300404,outfield_outer,-3.5,8.0,NE,-4.655638530498977,OAK
111,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-46.54007951762605,395.934910002238,398.6607981228995,outfield_outer,-5.0,8.0,NE,-6.70405625752679,OAK
112,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-60.164838086453045,389.3502584788541,393.9713587553283,outfield_outer,-6.6,8.0,NE,-8.78422443223588,OAK
113,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-73.57359015576155,382.34566131663235,389.3600877029654,outfield_outer,-8.2,8.0,NE,-10.892113396609346,OAK
114,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-86.63844741586473,374.7506016713455,384.63519602821975,outfield_outer,-9.8,15.0,NE,-13.017483096762632,OAK
115,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-99.18760743106543,366.2941871149937,379.48598522492654,outfield_outer,-11.4,15.0,NE,-15.151580654141469,OAK
116,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-111.7846915016864,357.90936567555894,374.95990624653217,outfield_outer,-13.0,15.0,NE,-17.344984121997076,OAK
117,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-124.33510227811831,349.45478333142364,370.9149002826961,outfield_outer,-14.7,15.0,NE,-19.585426250455253,OAK
118,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-136.97650210540624,341.13858064583496,367.6113346104649,outfield_outer,-16.4,15.0,NE,-21.87681460228662,OAK
119,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-150.19372335169348,333.8689069973995,366.09643755967255,outfield_outer,-18.2,15.0,NE,-24.2209968355757,OAK
120,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-164.19013425106397,328.1161616576281,366.9040960882246,outfield_outer,-19.9,15.0,NE,-26.583495585648343,OAK
121,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-178.12846097860157,322.2275231859914,368.18517801397684,outfield_outer,-21.7,15.0,NE,-28.93396545465693,OAK
122,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-191.98500541925415,316.16200830846265,369.88735826393344,outfield_outer,-23.5,8.0,NE,-31.267637753825,OAK
123,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-205.4665926093226,309.40014278025285,371.409435839918,outfield_outer,-25.2,8.0,NE,-33.587360213542695,OAK
124,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-212.16104494239886,296.0337463751593,364.2091267170041,outfield_outer,-26.7,8.0,NE,-35.628358247263314,OAK
125,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-218.41080436638825,282.25241770812625,356.88892777173027,outfield_outer,-28.3,8.0,NE,-37.733197375250505,OAK
126,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-224.62369768580078,268.45420154674537,350.03351823810044,outfield_outer,-29.9,8.0,NE,-39.92023566213855,OAK
127,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-230.8054419701996,254.6420942634938,343.6768077917933,outfield_outer,-31.6,8.0,NE,-42.18889594444858,OAK
128,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-237.00039787500384,240.83636790249076,337.8925046481114,outfield_outer,-33.4,8.0,NE,-44.54005177611134,OAK
129,RingCentral Coliseum,Oakland Athletics,athletics,OAK,-242.9985854960228,226.9446734063449,332.49390571945895,outfield_outer,-35.2,8.0,NE,-46.95654226281817,OAK
130,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-233.1101659619768,243.79339918981967,337.30634586877716,outfield_outer,-32.8,8.0,NNW,-43.716717879233435,TOR
131,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-224.35005314843278,256.7287738450069,340.94370454323587,outfield_outer,-30.9,8.0,NNW,-41.14954909197933,TOR
132,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-215.38665888199782,269.52687308796334,345.0161563476777,outfield_outer,-29.0,8.0,NNW,-38.62935507709053,TOR
133,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-206.4122505775398,282.31733867173597,349.72717495667496,outfield_outer,-27.1,8.0,NNW,-36.17186611847094,TOR
134,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-197.47637415860538,295.1352456269406,355.1080561774177,outfield_outer,-25.3,8.0,NNW,-33.78666573873554,TOR
135,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-188.55791083867484,307.9652697663587,361.10482290065266,outfield_outer,-23.6,8.0,NNW,-31.477887496028462,TOR
136,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-179.66212222292143,320.81096935475165,367.6930189981574,outfield_outer,-21.9,8.0,NNW,-29.249911199947405,TOR
137,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-170.82355724106208,333.69553069104825,374.8778399848019,outfield_outer,-20.3,8.0,NNW,-27.108561772051385,TOR
138,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,-160.95944437133218,345.7262307333345,381.35884590423075,outfield_outer,-18.7,8.0,NNW,-24.965231072069624,TOR
