,game_date,hc_x,hc_y,launch_angle,hit_distance_sc,events,pitch_name,player_name,Game_Num
127,2022-05-22,12.05,65.06,28.0,431,home_run,Sinker,"Graveman, Kendall",40
128,2022-05-21,202.77,102.67,47.0,304,field_out,Cutter,"Keuchel, Dallas",39
129,2022-05-18,157.98,83.95,45.0,297,field_out,4-Seam Fastball,"Lyles, Jordan",37
130,2022-05-17,113.74,28.86,25.0,422,home_run,Slider,"Krehbiel, Joey",36
131,2022-05-17,167.84,38.29,29.0,410,home_run,4-Seam Fastball,"Watkins, Spenser",36
132,2022-05-17,65.43,73.12,30.0,397,double,Sweeper,"Watkins, Spenser",36
133,2022-05-13,159.32,77.0,12.0,315,single,4-Seam Fastball,"Foster, Matt",32
134,2022-05-13,211.4,83.36,31.0,355,home_run,4-Seam Fastball,"Velasquez, Vince",32
135,2022-05-12,179.78,76.69,18.0,331,sac_fly,4-Seam Fastball,"Banks, Tanner",31
136,2022-05-12,31.08,39.48,25.0,456,home_run,4-Seam Fastball,"Burr, Ryan",31
137,2022-05-10,50.45,32.41,31.0,414,home_run,Slider,"Romano, Jordan",29
138,2022-05-10,,,47.0,295,,4-Seam Fastball,"Romano, Jordan",29
139,2022-05-10,159.75,83.06,35.0,301,field_out,4-Seam Fastball,"Cimber, Adam",29
140,2022-05-10,153.08,58.42,36.0,354,field_out,4-Seam Fastball,"Kikuchi, Yusei",29
141,2022-05-09,,,39.0,313,,4-Seam Fastball,"Gray, Jon",28
142,2022-05-08,105.24,62.16,34.0,342,field_out,Slider,"Santana, Dennis",26
143,2022-05-08,186.96,87.99,38.0,313,field_out,Sinker,"Dunning, Dane",26
144,2022-05-04,,,19.0,316,,Slider,"Kikuchi, Yusei",25
145,2022-05-04,,,47.0,304,,4-Seam Fastball,"Kikuchi, Yusei",25
146,2022-05-03,114.06,57.77,18.0,362,double,Slider,"Merryweather, Julian",24
147,2022-05-03,43.96,52.17,25.0,427,home_run,4-Seam Fastball,"Manoah, Alek",24
148,2022-05-01,203.11,58.84,35.0,395,home_run,Sinker,"Staumont, Josh",22
149,2022-05-01,135.33,15.38,27.0,453,home_run,4-Seam Fastball,"Lynch IV, Daniel",22
150,2022-04-29,198.31,59.22,34.0,389,home_run,4-Seam Fastball,"Coleman, Dylan",20
151,2022-04-29,111.23,72.02,18.0,318,field_out,Changeup,"Bubic, Kris",20
152,2022-04-29,,,31.0,319,,4-Seam Fastball,"Bubic, Kris",20
153,2022-04-28,39.47,54.1,23.0,415,home_run,Slider,"Fry, Paul",19
154,2022-04-28,182.58,85.97,25.0,314,field_out,4-Seam Fastball,"Baumann, Mike",19
155,2022-04-26,40.98,64.54,34.0,392,home_run,Curveball,"Wells, Alex",17
156,2022-04-26,,,24.0,317,,Changeup,"Lyles, Jordan",17
157,2022-04-23,132.08,78.51,16.0,301,field_out,Sinker,"Quantrill, Cal",15
158,2022-04-22,165.02,73.99,34.0,324,field_out,Slider,"Pilkington, Konnor",14
159,2022-04-22,215.64,81.85,19.0,364,home_run,4-Seam Fastball,"Tully, Tanner",14
160,2022-04-22,161.28,28.05,34.0,397,home_run,4-Seam Fastball,"Morgan, Eli",14
161,2022-04-21,,,41.0,300,,4-Seam Fastball,"Barnes, Jacob",13
162,2022-04-21,74.97,73.21,42.0,335,field_out,Slider,"Pineda, Michael",13
163,2022-04-17,97.93,67.78,32.0,332,field_out,Changeup,"Zimmermann, Bruce",10
164,2022-04-16,199.67,76.36,31.0,354,field_out,4-Seam Fastball,"Wells, Tyler",9
165,2022-04-14,104.67,26.55,23.0,401,double,4-Seam Fastball,"Merryweather, Julian",7
166,2022-04-14,116.78,51.5,28.0,366,field_out,4-Seam Fastball,"Gausman, Kevin",7
167,2022-04-14,149.67,65.92,27.0,335,field_out,4-Seam Fastball,"Gausman, Kevin",7
168,2022-04-13,52.63,48.37,27.0,413,home_run,Sinker,"Berríos, José",6
169,2022-04-12,46.34,75.71,29.0,361,field_out,Cutter,"Kikuchi, Yusei",5
170,2022-04-09,131.35,32.9,35.0,409,field_out,4-Seam Fastball,"Pivetta, Nick",2
